,experiment_accession,study_accession,age,missing_metadata,cell_line,differentiated
248,SRX1047870,SRP059039,2,False,False,False
249,SRX1047811,SRP059039,2,False,False,False
250,SRX1047751,SRP059039,2,False,False,False
251,SRX1047837,SRP059039,2,False,False,False
252,SRX1047789,SRP059039,2,False,False,False
253,SRX1047771,SRP059039,2,False,False,False
254,SRX1047717,SRP059039,2,False,False,False
255,SRX1047703,SRP059039,2,False,False,False
256,SRX1047812,SRP059039,2,False,False,False
257,SRX1047716,SRP059039,2,False,False,False
258,SRX1047719,SRP059039,2,False,False,False
259,SRX1047741,SRP059039,2,False,False,False
260,SRX1047841,SRP059039,2,False,False,False
261,SRX1047714,SRP059039,2,False,False,False
262,SRX550512,SRP042027,3,False,False,False
263,SRX550488,SRP042027,3,False,False,False
264,SRX423980,SRP035252,3,False,False,False
265,SRX550500,SRP042027,3,False,False,False
266,SRX2766396,SRP105312,3,False,False,False
267,SRX550476,SRP042027,3,False,False,False
268,SRX423981,SRP035252,3,False,False,False
269,SRX550508,SRP042027,3,False,False,False
270,SRX550516,SRP042027,3,False,False,False
271,SRX550504,SRP042027,3,False,False,False
272,SRX550496,SRP042027,3,False,False,False
273,SRX550484,SRP042027,3,False,False,False
274,SRX550492,SRP042027,3,False,False,False
275,SRX550480,SRP042027,3,False,False,False
276,SRX2766399,SRP105312,5,False,False,False
277,SRX1003369,SRP057545,7,False,False,False
278,SRX2018837,SRP081605,8,False,False,False
279,SRX501755,SRP040547,8,False,False,False
280,SRX501665,SRP040547,8,False,False,False
281,SRX501592,SRP040547,8,False,False,False
282,SRX501234,SRP040547,8,False,False,False
283,SRX501239,SRP040547,8,False,False,False
284,SRX501769,SRP040547,8,False,False,False
285,SRX501042,SRP040547,8,False,False,False
286,SRX501667,SRP040547,8,False,False,False
287,SRX501331,SRP040547,8,False,False,False
288,SRX501753,SRP040547,8,False,False,False
289,SRX501757,SRP040547,8,False,False,False
290,SRX501582,SRP040547,8,False,False,False
291,SRX501235,SRP040547,8,False,False,False
292,SRX501181,SRP040547,8,False,False,False
293,SRX501754,SRP040547,8,False,False,False
294,SRX501800,SRP040547,8,False,False,False
295,SRX501319,SRP040547,8,False,False,False
296,SRX500932,SRP040547,8,False,False,False
297,SRX501682,SRP040547,8,False,False,False
298,SRX501236,SRP040547,8,False,False,False
299,SRX501775,SRP040547,8,False,False,False
300,SRX2018791,SRP081605,8,False,False,False
301,SRX501326,SRP040547,8,False,False,False
302,SRX500914,SRP040547,8,False,False,False
303,SRX500879,SRP040547,8,False,False,False
304,SRX501348,SRP040547,8,False,False,False
305,SRX501814,SRP040547,8,False,False,False
306,SRX501593,SRP040547,8,False,False,False
307,SRX501338,SRP040547,8,False,False,False
308,SRX501739,SRP040547,8,False,False,False
309,SRX500938,SRP040547,8,False,False,False
310,SRX500880,SRP040547,8,False,False,False
311,SRX501584,SRP040547,8,False,False,False
312,SRX501264,SRP040547,8,False,False,False
313,SRX501690,SRP040547,8,False,False,False
314,SRX501097,SRP040547,8,False,False,False
315,SRX501801,SRP040547,8,False,False,False
316,SRX501756,SRP040547,8,False,False,False
317,SRX501730,SRP040547,8,False,False,False
318,SRX501586,SRP040547,8,False,False,False
319,SRX500939,SRP040547,8,False,False,False
320,SRX501346,SRP040547,8,False,False,False
321,SRX501761,SRP040547,8,False,False,False
322,SRX501740,SRP040547,8,False,False,False
323,SRX501332,SRP040547,8,False,False,False
324,SRX501811,SRP040547,8,False,False,False
325,SRX500877,SRP040547,8,False,False,False
326,SRX501138,SRP040547,8,False,False,False
327,SRX501585,SRP040547,8,False,False,False
328,SRX501040,SRP040547,8,False,False,False
329,SRX501681,SRP040547,8,False,False,False
330,SRX501581,SRP040547,8,False,False,False
331,SRX501587,SRP040547,8,False,False,False
332,SRX501046,SRP040547,8,False,False,False
333,SRX500878,SRP040547,8,False,False,False
334,SRX501045,SRP040547,8,False,False,False
335,SRX501734,SRP040547,8,False,False,False
336,SRX500874,SRP040547,8,False,False,False
337,SRX500930,SRP040547,8,False,False,False
338,SRX501803,SRP040547,8,False,False,False
339,SRX501062,SRP040547,8,False,False,False
340,SRX2018968,SRP081605,8,False,False,False
341,SRX501786,SRP040547,8,False,False,False
342,SRX501669,SRP040547,8,False,False,False
343,SRX2018882,SRP081605,8,False,False,False
344,SRX501237,SRP040547,8,False,False,False
345,SRX501238,SRP040547,8,False,False,False
346,SRX500931,SRP040547,8,False,False,False
347,SRX501596,SRP040547,8,False,False,False
348,SRX500883,SRP040547,8,False,False,False
349,SRX501809,SRP040547,8,False,False,False
350,SRX501729,SRP040547,8,False,False,False
351,SRX501322,SRP040547,8,False,False,False
352,SRX501340,SRP040547,8,False,False,False
353,SRX501048,SRP040547,8,False,False,False
354,SRX501745,SRP040547,8,False,False,False
355,SRX501589,SRP040547,8,False,False,False
356,SRX501758,SRP040547,8,False,False,False
357,SRX501049,SRP040547,8,False,False,False
358,SRX501744,SRP040547,8,False,False,False
359,SRX501722,SRP040547,8,False,False,False
360,SRX500929,SRP040547,8,False,False,False
361,SRX501763,SRP040547,8,False,False,False
362,SRX501116,SRP040547,8,False,False,False
363,SRX501047,SRP040547,8,False,False,False
364,SRX501321,SRP040547,8,False,False,False
365,SRX501733,SRP040547,8,False,False,False
366,SRX2018929,SRP081605,8,False,False,False
367,SRX501796,SRP040547,8,False,False,False
368,SRX2018810,SRP081605,8,False,False,False
369,SRX501783,SRP040547,8,False,False,False
370,SRX500882,SRP040547,8,False,False,False
371,SRX501588,SRP040547,8,False,False,False
372,SRX2018887,SRP081605,9,False,False,False
373,SRX2018934,SRP081605,9,False,False,False
374,SRX2018935,SRP081605,9,False,False,False
375,SRX2018852,SRP081605,9,False,False,False
376,SRX2018842,SRP081605,9,False,False,False
377,SRX2018973,SRP081605,9,False,False,False
378,SRX2018878,SRP081605,10,False,False,False
379,SRX2018872,SRP081605,10,False,False,False
380,SRX2018788,SRP081605,10,False,False,False
381,SRX206920,SRP017262,10,False,False,False
382,SRX2018831,SRP081605,10,False,False,False
383,SRX205691,SRP017262,10,False,False,False
384,SRX2018913,SRP081605,10,False,False,False
385,SRX2018819,SRP081605,10,False,False,False
386,SRX2018969,SRP081605,10,False,False,False
