SRA_Study	OrganismPart	Run
SRP014320	GM12878	SRR521447,SRR521448,SRR521449,SRR521450,SRR521451,SRR521452,SRR521453,SRR521454,SRR521455,SRR521466,SRR521467,SRR521456,SRR521510,SRR521511,SRR521512
SRP014320	K562	SRR521457,SRR521458,SRR521459,SRR521460,SRR521461,SRR521462,SRR521463,SRR521464,SRR521465,SRR521468,SRR534174,SRR534175
SRP014320	HepG2	SRR521470,SRR521471,SRR521472,SRR521473,SRR521474,SRR521475,SRR521476,SRR521507,SRR521508
SRP014320	H1-hESC	SRR521477,SRR521478,SRR521479,SRR521480,SRR521481,SRR521482,SRR521483,SRR521484,SRR521501,SRR521502,SRR521513,SRR521514,SRR521515
SRP014320	HUVEC	SRR521485,SRR521486,SRR521487,SRR521488,SRR521489,SRR521503,SRR521504
SRP014320	HeLa-S3	SRR521490,SRR521491,SRR521492,SRR521505,SRR521506,SRR521493,SRR521494,SRR521495
SRP014320	NHEK	SRR521509,SRR521496,SRR521497,SRR521498,SRR521499,SRR521500
SRP014320	HSMM	SRR521516,SRR521517,SRR521518,SRR521519
SRP014320	MCF-7	SRR521520,SRR521521,SRR521522,SRR521523,SRR521524,SRR521525,SRR521526
SRP014320	NHLF	SRR521527,SRR521528,SRR521529,SRR521530
SRP014320	GM12891	SRR521531,SRR521532,SRR521533
SRP014320	GM12892	SRR521534,SRR521535,SRR521536,SRR521537
SRP014320	HCT-116	SRR521538,SRR521539,SRR521540,SRR521541,SRR521542,SRR521543
SRP014320	LHCN-M2	SRR521544,SRR521545,SRR521546,SRR521547,SRR521548,SRR521549
